time,source_ip,destination_ip,protocol,port,packet_size
10:29:39,172.16.0.227,13.107.42.14,UDP,143,581
10:30:28,192.168.0.130,208.67.220.220,UDP,25,1231
10:31:12,192.168.0.244,172.16.2.35,UDP,110,410
10:33:18,192.168.0.195,13.107.42.14,UDP,587,628
10:35:10,192.168.0.38,172.16.1.97,TCP,53876,929
10:38:09,172.16.2.223,172.16.2.204,ICMP,0,80
10:39:22,172.16.0.16,216.58.214.46,UDP,53,165
10:40:54,172.16.2.66,9.9.9.9,UDP,995,235
10:47:05,172.16.2.227,93.184.216.34,UDP,161,1253
10:47:27,10.0.0.75,8.8.4.4,ICMP,0,70
10:47:59,192.168.1.190,8.8.4.4,UDP,6888,104
10:48:15,172.16.1.60,192.168.0.93,ICMP,0,122
10:48:16,172.16.0.178,192.168.1.214,TCP,161,849
10:48:30,172.16.2.80,208.67.222.222,TCP,5353,663
10:49:42,10.0.0.213,216.58.214.46,UDP,143,263
10:51:32,172.16.1.38,172.217.14.206,TCP,587,196
10:52:40,172.16.1.57,151.101.65.140,ICMP,0,99
10:55:09,192.168.0.210,9.9.9.9,TCP,143,377
10:55:15,10.0.0.73,151.101.65.140,TCP,54501,1268
10:55:37,172.16.1.59,151.101.65.140,UDP,8080,558
10:55:46,10.0.0.18,172.16.2.90,TCP,500,1168
10:56:06,172.16.1.86,8.8.8.8,UDP,4500,622
10:58:55,192.168.1.247,10.0.0.23,ICMP,0,84
10:59:15,172.16.0.179,208.67.222.222,TCP,5353,816
11:00:12,172.16.0.107,93.184.216.34,TCP,34961,301
11:03:02,10.0.0.72,216.58.214.46,TCP,45596,427
11:03:21,172.16.0.100,1.0.0.1,UDP,8080,1196
11:03:23,10.0.0.77,208.67.222.222,TCP,143,326
11:04:14,172.16.1.91,216.58.214.46,TCP,21,311
11:04:47,172.16.1.66,93.184.216.34,UDP,55456,490
11:08:27,192.168.0.181,172.16.0.48,UDP,22597,217
11:08:38,172.16.0.203,52.84.13.5,UDP,9547,247
11:11:14,10.0.0.21,216.58.214.46,TCP,25,725
11:14:15,172.16.1.155,1.0.0.1,TCP,27733,225
11:14:43,172.16.2.191,192.168.0.236,ICMP,0,86
11:15:37,172.16.2.154,192.168.1.92,UDP,13578,199
11:15:43,172.16.1.216,10.0.0.158,TCP,61847,508
11:16:32,172.16.2.101,1.1.1.1,TCP,47727,468
11:17:47,192.168.0.101,149.112.112.112,UDP,43174,1031
11:20:22,172.16.2.208,13.107.42.14,UDP,993,1034
11:20:44,172.16.1.108,142.250.80.46,ICMP,0,76
11:22:55,172.16.0.224,9.9.9.9,ICMP,0,94
11:30:53,10.0.0.176,192.168.1.12,TCP,587,143
11:31:05,192.168.1.74,104.18.0.1,UDP,3389,362
11:31:35,192.168.0.30,10.0.0.227,TCP,31139,215
11:34:03,172.16.0.216,172.16.1.237,TCP,53,216
11:35:25,10.0.0.87,10.0.0.155,TCP,445,1117
11:36:53,192.168.1.84,208.67.222.222,UDP,8080,1117
11:37:34,192.168.0.62,1.1.1.1,TCP,1900,712
11:37:42,172.16.0.118,93.184.216.34,TCP,5353,898
11:42:16,192.168.0.214,93.184.216.34,TCP,25,588
11:42:53,192.168.0.75,9.9.9.9,UDP,25,383
11:43:02,10.0.0.199,208.67.220.220,TCP,3306,1006
11:43:48,192.168.1.26,104.18.0.1,ICMP,0,85
11:43:49,10.0.0.73,8.8.8.8,TCP,110,521
11:45:11,172.16.2.197,216.58.214.46,ICMP,0,72
11:47:52,192.168.0.140,172.16.1.181,TCP,47454,513
11:53:48,192.168.0.16,192.168.0.125,TCP,4500,1286
11:55:57,192.168.1.242,149.112.112.112,UDP,68,133
11:56:23,172.16.0.3,8.8.8.8,TCP,7406,656
